V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1.487252957,1.534312276,1.185900119,2.206345812,1.569247589,1.002257993,2.007163939,1.578530181,1.69671284,0.492159969,2.747716009,2.180042754,2.313124543,2.932179959,2.38785753
2.488047895,2.433609368,1.438944188,2.080993931,1.900649568,3.190531847,1.680945904,1.918854299,3.153677564,1.149648236,0.862726345,2.563473229,3.161924997,3.916688068,0.98774595
2.41433456,3.776800612,1.765427425,1.440479224,1.812707608,1.642362063,0.633921881,3.114537719,1.94549202,1.753980836,2.785681274,1.169080415,0.988177343,2.825066306,2.220422259
1.92871547,1.739234539,3.401845387,1.689320287,1.581002479,1.422294067,1.614992319,2.874633332,1.65250495,2.765394823,0.83523421,0.980919733,1.290344301,1.060737999,1.606623479
2.162532876,2.320568354,1.322097607,1.351500959,1.504116602,0.853445874,1.617769358,1.942740147,0.824330438,1.736682971,2.650719979,0.873081417,2.093662362,1.43499239,1.686032767
1.13477811,1.39510086,2.709358333,1.737885162,1.492627133,1.116882733,2.608437333,1.66968934,0.935329055,4.280167911,2.25938319,1.755435749,2.310949765,2.49397119,2.857374296
1.082145268,1.900472251,1.54797905,1.826936826,1.177427645,1.903677689,3.367437318,2.322766641,0.870258892,1.398598721,1.284210102,1.831161241,1.703699269,1.320261222,1.310061317
1.2551967,1.745955964,0.668580938,1.642902052,2.04897726,1.996780565,2.754652261,2.112236786,2.502553115,1.064960533,1.918378231,3.294278138,2.424742553,2.932783746,1.43751705
0.900363825,3.340217626,3.098377288,0.87880177,1.353242045,1.542229462,1.839108574,2.600381475,1.840127002,2.268208507,1.878808333,2.299308124,1.748976175,0.910825368,1.475278592
3.387150895,2.090641362,1.406840736,2.075890592,2.87284279,1.035466119,0.995615842,0.914401186,2.300506004,1.29024597,2.023692776,1.209813409,2.265192239,1.783649932,1.060136107
1.487252957,1.534312276,1.185900119,2.206345812,1.569247589,1.002257993,2.007163939,1.578530181,1.69671284,0.492159969,2.747716009,2.180042754,2.313124543,2.932179959,2.372660853
1.973069227,1.250150583,3.728680894,3.418012872,1.037288581,1.3628751,1.9155449,1.207750217,1.381077486,2.475577244,3.834625902,0.989375359,1.641353816,1.113673958,2.321835913
0.901685635,1.729299161,3.664147187,3.096236451,4.242555219,1.446898633,0.635166787,1.891014107,1.896696024,2.461229654,0.884699143,1.116081851,1.281795629,1.180990677,2.394673413
1.038609666,1.280493817,1.991532943,0.842154114,2.400576742,2.86849637,0.984995542,1.62362714,1.476399017,1.079989555,2.027821808,2.863078189,1.363503617,3.281302327,1.053153167
1.35278132,1.290229311,3.421479624,2.831054646,1.914024566,1.447214317,2.604383859,2.452077827,0.690360803,2.085835993,3.163087537,1.299527931,2.376944188,2.16303262,4.032791094
1.660135264,1.581710189,4.145868689,5.014947531,1.707700874,1.054265697,4.800312593,0.739143752,1.676342564,2.833787503,2.694549806,1.795147933,0.951389465,0.956297044,0.798290723
1.99055467,1.658920154,1.312365079,0.674835387,1.178558939,3.521541848,3.401555244,5.192798781,3.094856196,2.101240089,2.684137416,2.599403043,2.24623725,2.025826996,3.24365
1.067926056,1.344460647,0.971972487,1.783246694,1.430872184,3.694115771,1.819816712,4.591119633,1.872441314,1.608783229,0.76616839,2.239047109,1.259107732,3.755161732,2.362528633
1.740996577,1.289553433,2.408648939,1.139667087,1.549609086,1.321394507,3.062739578,2.744013265,1.892483212,5.822499387,2.873431717,1.093236652,1.807170496,1.595014745,1.891388013
1.434321924,4.446368517,2.009471151,2.178619589,1.012693058,1.27152748,1.358205494,0.954501871,4.182922284,1.913096192,3.583500553,2.991224915,2.718639096,1.220340977,2.676311254
3.265689725,1.507698123,1.459615416,1.259179135,1.358665212,1.052703191,0.759678853,1.228937193,5.613309586,1.814666102,1.166857078,1.246951357,3.471324804,0.880587554,2.062865957
1.760744656,2.788672705,1.614154281,2.149064694,1.438115777,2.200055874,2.422964477,3.259473657,2.260364708,2.573409247,1.463037658,0.989512608,1.428181078,1.615251474,1.276446599
0.932728012,1.137661,2.146101023,2.299720098,1.176996908,0.801780243,1.71014577,1.67965518,0.634411727,0.648005448,3.588555806,2.161723475,1.468705838,3.804995626,2.531693776
1.649521468,0.896640952,4.853828399,1.372004976,1.223248545,0.890699572,2.089291044,2.198823054,1.614392725,1.613227181,1.615720961,1.518413739,2.253294066,0.778585666,2.200947682
1.369406755,1.390285614,1.405907646,1.146354897,1.152040381,1.409431329,0.497656418,1.67444018,1.448112119,1.181362648,1.234536236,0.867509876,1.468803944,1.150884853,2.108797552
1.376276381,1.840245871,1.339310774,1.411652726,0.806030128,1.782376711,2.132986308,3.225648366,2.508037371,1.39703533,0.918981547,1.104347395,1.981018965,1.64550809,0.721539356
1.397982265,1.354187646,3.943277381,1.592381156,1.368626823,1.154535626,1.650461328,1.56832361,1.24426287,2.127064291,3.408396045,1.504582737,0.918607374,2.200329139,0.733002369
2.655038562,2.571747465,1.353908192,3.23692321,2.724399091,2.808597821,1.262351044,3.355466326,4.828709251,1.112228028,1.695751721,2.289989402,1.229001388,1.623691817,1.23782685
1.442464069,2.908197344,2.851467272,1.918950338,1.571014144,3.01200181,2.828051085,3.049470715,1.566594536,1.062029034,1.3839329,1.685805819,2.176519681,1.261873949,2.359100663
2.285073669,1.978654891,1.245392699,1.799062,1.422380256,2.499041297,2.244846459,1.15837009,0.456935833,1.759764495,1.063397059,1.113952133,1.380698985,1.462715082,1.720686653
2.841914065,1.991414418,2.355885983,2.277410312,2.075035178,1.396087315,1.020538334,1.467526999,1.62641766,1.780551753,0.884652173,0.903427286,0.843276938,2.173359247,1.051864704
1.052831093,1.160665378,2.647347266,1.555794165,0.747609636,2.004181502,2.553157218,1.153360384,0.938048384,1.09775491,1.539629153,1.772649694,1.197934789,1.554478998,2.178850774
1.093281018,1.21020448,1.653664407,1.711295362,2.618327173,1.146147707,1.026918505,1.923061304,2.873653905,1.852628541,1.261893791,5.63975142,1.321718146,2.476511645,2.497375071
2.269641398,1.785839493,0.961983082,2.057360118,1.886384448,1.898495822,3.138507452,2.533965527,0.912694252,1.027799412,2.734903406,1.47088587,2.14158948,0.407312421,3.140506295
2.15470514,2.75131925,2.707861984,0.743567962,3.49363934,2.850630618,6.154787205,1.65695725,1.092771968,0.54531219,1.785098405,3.906832642,1.344395152,1.534778226,1.712548417
1.474704678,1.399406315,1.54947662,1.637658605,0.920794581,4.951126775,1.17340648,1.212995136,1.27814955,2.293840664,1.995164221,2.447788991,3.343000877,2.191657049,2.467043157
1.14982375,0.316059107,4.624413407,0.738248833,2.627817994,2.189175798,2.419981643,0.890159636,2.659037259,1.126811924,2.44633178,1.200405604,3.139802981,1.746635112,1.13408952
1.275164241,2.355182575,1.070177668,2.172742004,2.727315083,0.914205525,1.873178564,1.727269249,2.016408063,3.049809306,2.128851714,1.704759239,3.505929531,1.939953609,2.826035994
2.659506009,1.642147283,0.840257919,3.111062037,3.288067251,1.662185179,2.797237018,2.029333885,2.822603973,1.204222666,1.550401007,2.130519206,2.909711981,1.041229315,1.53657069
