V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
4,13,12,55,105,230,540,905,1333,1442,1049,575,337,168,84
10,24,51,71,104,266,746,1190,1450,1264,790,373,204,79,38
5,1,8,6,18,44,75,296,462,893,1202,1238,907,566,313
3,6,20,66,208,445,916,1206,1233,1035,669,456,245,137,86
4,51,77,161,358,685,1074,1249,1168,765,463,237,119,81,48
19,49,127,328,640,1146,1268,1248,841,523,295,150,66,48,30
3,25,58,87,179,481,752,1150,1249,1069,719,404,246,113,65
3,6,25,47,79,188,437,874,1281,1269,1012,658,388,193,127
14,65,110,172,423,753,1103,1334,1043,836,466,283,119,80,43
4,8,11,62,246,485,923,1420,1391,1012,564,289,196,96,53
6,19,33,109,238,608,948,1335,1283,969,647,363,236,143,62
11,11,47,109,235,544,917,1488,1456,970,520,253,122,64,30
9,34,117,328,721,1102,1408,1000,747,497,249,151,93,48,17
22,40,114,330,551,1098,1539,1420,946,454,216,99,38,27,10
11,30,51,119,313,672,1029,1245,1013,758,472,342,189,96,51
12,6,12,23,103,303,674,1159,1333,1181,842,503,267,118,54
12,27,49,169,426,864,1232,1476,1135,697,420,201,91,52,27
3,2,5,38,125,205,311,842,1193,1441,1046,674,394,273,113
14,38,89,121,355,847,1202,1473,1146,724,415,164,72,44,36
10,20,31,114,250,509,984,1274,1407,943,526,236,151,96,60
8,7,4,10,8,21,74,207,584,1078,1437,1435,893,524,309
7,20,40,84,172,573,931,1242,1340,957,661,385,211,85,47
19,49,93,147,372,667,1301,1457,1158,733,416,238,123,78,25
7,6,14,29,77,104,280,622,1131,1395,1276,840,480,252,155
15,92,196,403,818,1200,1356,1089,735,407,213,115,64,24,11
9,12,15,52,176,453,751,1196,1245,1057,724,397,236,109,57
5,20,50,97,216,494,916,1240,1322,975,668,381,251,130,78
5,5,1,10,8,2,11,6,13,24,36,69,229,476,1054
13,27,72,203,424,712,1288,1302,1160,762,404,212,114,45,25
9,14,44,197,435,772,1395,1582,1215,691,365,175,94,56,17
8,16,18,10,34,122,198,328,547,936,1142,1121,771,532,292
7,4,7,2,1,4,16,35,89,236,579,1133,1435,1297,915
6,36,50,162,447,970,1379,1316,1049,739,362,203,78,57,21
4,17,38,83,236,504,1063,1259,1381,939,550,334,189,82,52
21,53,119,213,518,906,1275,1450,973,547,316,162,77,52,16
4,16,49,96,236,607,1003,1466,1242,898,556,303,173,70,47
10,6,13,23,97,141,340,711,1080,1636,1206,693,374,174,114
29,125,245,555,1035,1409,1384,882,448,285,152,70,59,27,10
9,12,57,138,243,678,953,1253,1183,973,578,284,128,68,28
6,11,29,108,287,511,854,1273,1384,1058,607,292,170,71,37
13,40,84,247,530,887,1273,1466,1074,553,323,165,106,37,24
13,8,5,9,16,36,66,176,382,678,1015,1338,1058,819,506
12,8,34,52,77,98,217,510,858,1276,1303,950,566,309,168
14,36,108,296,688,1208,1397,1246,828,429,218,120,71,37,17
4,17,36,96,178,347,756,1235,1437,1197,667,417,248,109,59
3,2,25,69,228,547,926,1139,1279,988,650,410,192,69,31
7,17,37,75,174,395,828,1302,1403,1143,723,377,207,110,70
3,12,31,48,248,614,1134,1580,1356,828,495,286,115,44,22
17,37,70,182,293,551,919,1258,1222,959,570,326,140,79,36
11,35,145,331,661,1197,1378,1193,911,544,284,135,45,31,16
1,12,26,48,69,171,382,942,1204,1255,1000,651,443,218,133
7,12,21,45,115,182,605,892,1178,1286,993,655,374,181,88
7,15,41,55,120,326,703,1125,1328,975,774,480,250,109,72
10,20,18,16,28,81,155,412,915,1449,1593,1043,623,380,135
11,32,64,178,365,715,1236,1327,1056,793,505,265,99,46,25
4,25,58,134,302,642,1074,1353,1124,887,630,345,163,72,40
6,4,17,58,137,331,683,1155,1414,1186,802,391,207,127,50
8,11,40,109,329,594,964,1303,1239,976,548,293,159,71,35
